Method,Feature Index,Feature Name,Score,Score Type
Variance Threshold,0,near_normal_contour,0.99999999999999,Variance
Variance Threshold,1,pale_skin,0.9999999999999856,Variance
Variance Threshold,2,fairly_intact_skin,0.999999999999984,Variance
Variance Threshold,3,smooth_intact_skin,0.9999999999999911,Variance
Variance Threshold,4,minimal_insect_activity,1.0000000000000084,Variance
Variance Threshold,6,mild_fullness_or_swelling,0.9999999999999837,Variance
Variance Threshold,7,distended_abdomen,0.999999999999995,Variance
Variance Threshold,8,marbling_visible,0.9999999999999835,Variance
Variance Threshold,9,green_discoloration,0.999999999999995,Variance
Variance Threshold,10,taut_skin,0.9999999999999863,Variance
Variance Threshold,11,limited_insect_activity,1.0000000000000007,Variance
Variance Threshold,12,collapse_visible,1.0000000000000033,Variance
Variance Threshold,13,peeling_skin,1.0000000000000189,Variance
Variance Threshold,14,liquefaction_visible,1.0000000000000007,Variance
Variance Threshold,15,body_fluids_visible,1.0000000000000036,Variance
Variance Threshold,16,heavy_insect_activity,1.000000000000009,Variance
Variance Threshold,17,maggot_activity,1.0000000000000129,Variance
Variance Threshold,18,wet_tissue_breakdown,1.0000000000000073,Variance
Variance Threshold,19,dry_leathery_tissue,0.9999999999999919,Variance
Variance Threshold,20,darkened_tissue,1.0000000000000093,Variance
Variance Threshold,21,residual_soft_tissue,1.0000000000000075,Variance
Variance Threshold,24,limited_residual_insect_activity,1.000000000000019,Variance
Variance Threshold,25,mild_discoloration,1.0000000000000087,Variance
Variance Threshold,26,outdoor_exposure,0.9999999999999923,Variance
Variance Threshold,27,ground_present,0.9999999999999958,Variance
Variance Threshold,28,grass_present,0.9999999999999997,Variance
Variance Threshold,29,dry_grass_present,0.9999999999999727,Variance
Variance Threshold,30,grassy_surface_present,0.9999999999999987,Variance
Variance Threshold,32,vegetation_present,1.000000000000006,Variance
Variance Threshold,33,sheet_or_tarp_present,0.9999999999999984,Variance
Variance Threshold,34,table_surface_present,0.9999999999999971,Variance
Variance Threshold,35,ground_contact,0.9999999999999877,Variance
Variance Threshold,36,dry_surface_context,0.9999999999999727,Variance
Variance Threshold,37,covered_body_context,0.99999999999999,Variance
Variance Threshold,38,exposed_body_context,1.0000000000000178,Variance
Variance Threshold,39,trauma_visible,1.000000000000009,Variance
Variance Threshold,40,sutures_or_surgical_intervention,0.9999999999999952,Variance
Variance Threshold,41,internal_organs_exposed,0.9999999999999982,Variance
Variance Threshold,42,bandage_or_medical_device,0.9999999999999948,Variance
Variance Threshold,43,tag_or_marker_present,0.9999999999999994,Variance
Variance Threshold,44,netting_or_binding_present,0.9999999999999969,Variance
Variance Threshold,45,covering_material_present,0.999999999999994,Variance
Variance Threshold,46,posture_supine,0.9999999999999766,Variance
Variance Threshold,49,arms_extended,0.9999999999999952,Variance
Variance Threshold,50,legs_extended,0.9999999999999916,Variance
Variance Threshold,51,partial_out_of_frame,0.9999999999999927,Variance
Variance Threshold,52,img_f0,1.0000000000000007,Variance
Variance Threshold,53,img_f1,1.0000000000000007,Variance
Variance Threshold,54,img_f2,1.0000000000000022,Variance
Variance Threshold,55,img_f3,0.9999999999999992,Variance
Variance Threshold,56,img_f4,1.0000000000000049,Variance
Variance Threshold,57,img_f5,0.9999999999999977,Variance
Variance Threshold,58,img_f6,0.9999999999999997,Variance
Variance Threshold,59,img_f7,0.9999999999999997,Variance
Variance Threshold,60,img_f8,1.0000000000000047,Variance
Variance Threshold,61,img_f9,0.9999999999999984,Variance
Variance Threshold,62,img_f10,1.000000000000002,Variance
Variance Threshold,63,img_f11,1.0000000000000007,Variance
Variance Threshold,64,img_f12,0.9999999999999969,Variance
Variance Threshold,65,img_f13,0.9999999999999992,Variance
Variance Threshold,66,img_f14,0.9999999999999932,Variance
Variance Threshold,67,img_f15,1.0000000000000016,Variance
Variance Threshold,68,img_f16,0.9999999999999971,Variance
Variance Threshold,69,img_f17,0.9999999999999998,Variance
Variance Threshold,70,img_f18,0.9999999999999994,Variance
Variance Threshold,71,img_f19,1.0000000000000027,Variance
Variance Threshold,72,img_f20,1.0000000000000056,Variance
Variance Threshold,73,img_f21,1.0000000000000024,Variance
